노선번호_x,기점,종점,노선아이디,노선유형,노선유형명,지역명,정류소아이디,정류소순번,정류소명,정류소번호,지역명.1,x좌표,y좌표,정류소아이디2,통과노선수,상세위치,시내버스_경유노선번호,시외버스_경유노선번호
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000005,31,한양수자인성남마크뷰.황성게이트볼장,6114,성남,127.1723333,37.44785,205000005,2,대원빌라앞,"57(시내),3-1(시내),7(마을)",해당없음
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000004,32,하원초등학교,6101,성남,127.1694333,37.4472667,205000004,8,숭신여중입구,"17(시내),57(시내),100출(시내),3-4(마을),60(시내),3-1(시내),7(마을),17-1A(시내),17-1(시내)",해당없음
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000003,33,신구대학,6089,성남,127.1679667,37.4469667,205000003,7,신구대정문,"60(시내),7(마을),100출(시내),3-1(시내),17(시내),17-1A(시내),57(시내),17-1(시내)",해당없음
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000168,34,신구대학.향군회관,6082,성남,127.166,37.4465667,205000168,11,금광공영주차장건너,"17-1(시내),3-1(시내),17-1A(시내),7(마을),100출(시내),340(시내),720-1A(시내),382(시내),57(시내),100(시내),87(마을),17(시내),60(시내)",해당없음
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000167,35,금광1.2동행정복지센터.중원어린이도서관,6071,성남,127.1634167,37.4458833,205000167,11,금광1동주민센터건너,"17-1A(시내),17-1(시내),57(시내),100(시내),7(마을),87(마을),340(시내),17(시내),100출(시내),720-1A(시내),60(시내),382(시내),3-1(시내)",해당없음
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000166,36,단대쇼핑,6056,성남,127.1592,37.44495,205000166,12,단대쇼핑건너,"3-4(마을),87(마을),340(시내),60(시내),3-1(시내),720-1A(시내),342(시내),100출(시내),17(시내),382(시내),100(시내),17-1A(시내),57(시내),17-1(시내)",해당없음
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,204000006,37,단대오거리역.세이브존,5109,성남,127.1553,37.44445,204000006,21,구삼영전자앞,"810(시내),17(시내),10-2(마을),452(서울),10(마을),4425(서울),3-4(마을),331(시내),7(마을),87(마을),반디2(시내),57(시내),7-2(마을),303(서울),382(시내),51(시내),17-1(시내),100출(시내),17-1A(시내),52(시내),30(시내),342(시내),240(시내),340(시내),10-1(마을),33(시내),100(시내),3-1(시내),3-5(마을)",해당없음
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,204000005,38,성남우체국,5097,성남,127.15045,37.4421667,204000005,19,성남우체국앞,"342(시내),303(서울),452(서울),4425(서울),100(시내),240(시내),382(시내),3-1(시내),17-1A(시내),100출(시내),331(시내),52(시내),340(시내),57(시내),17-1(시내),17(시내),30(시내),810(시내),51(시내),33(시내)",해당없음
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,204000268,39,신흥역.종합시장,5241,성남,127.1462,37.4406833,204000268,18,신흥역3번출구 / 카페별앞,"303(서울),100출(시내),3-4(마을),340(시내),52(시내),51(시내),342(시내),4425(서울),452(서울),17-1(시내),17(시내),57(시내),30(시내),331(시내),810(시내),17-1A(시내),100(시내),240(시내),3-1(시내)",해당없음
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,204000007,40,수진역.성호시장.성일중고입구,5070,성남,127.1422167,37.4385667,204000007,14,건강보험공단성남북부지사,"333(시내),340(시내),17(시내),3-4(마을),331(시내),반디2(시내),57(시내),342(시내),52(시내),2007(시내),17-1(시내),17-1A(시내),811(시내),30(시내),51(시내)",해당없음
