순번,관할관청,운행업체,노선번호,기점,종점,인가거리,인가대수,출퇴근배차,평일배차,주말배차,주중상행첫차,주중상행막차,주말상행첫차,주말상행막차,주중하행첫차,주중하행막차,주말하행첫차,주말하행막차,비고
27,용인시,대원고속,1560A,경희대차고지(경유),신분당선강남역(중),87.4,5,20,25,05:00,11:30,05:00,11:20,06:20,12:50,06:20,12:40,,
28,용인시,대원고속,1560B,경희대차고지(경유),신분당선강남역(중),88.5,15,20,30,11:50,22:30,11:50,22:30,13:10,23:50,13:10,23:50,,
29,용인시,대원고속,1570,광교차고지,신분당선강남역(중),63.8,15,25,30,05:10,23:10,05:10,23:10,06:00,00:00,06:00,00:00,,
30,구리시,경기여객,1650,구리수택차고지,안양역,95.9,6,13,20,04:10,22:35,04:10,22:35,05:25,23:55,05:25,23:55,,
31,광주시,경기고속,17,광주차고지,숭신여자중고교.래미안금광아파트,77.3,20,25,30,05:00,22:20,05:00,22:20,04:40,23:20,04:40,23:20,,
32,광주시,경기고속,17-1,광주차고지,숭신여자중고교.래미안금광아파트,81.4,30,40,50,04:50,22:00,04:50,22:00,05:45,22:50,05:45,22:50,,
33,광주시,경기고속,17-1A,광주차고지,숭신여자중고교.래미안금광아파트,81,80,120,120,06:00,21:20,06:00,21:20,05:25,23:10,05:25,23:10,,
35,수원시,삼경운수,2007,오목천차고지(경유),단대오거리역.(구)종점,72.8,10,18,19,04:30,22:50,04:30,22:50,05:30,23:50,05:30,23:50,,
42,하남시,경기상운,30,상산곡동.공영차고지,남한산성입구.양지파출소,70.5,45,50,70,04:00,21:40,04:00,21:40,04:40,23:20,04:40,23:20,,
44,하남시,경기상운,3000,미사강변호반써밋,금토천교,61.4,15,30,35,05:00,23:00,05:00,23:00,06:00,00:00,06:00,00:00,,
45,수원시,용남고속,3002,수원남부버스공영차고지,강남역나라빌딩앞,76.5,20,40,40,05:25,23:30,05:25,23:30,06:30,00:30,06:30,00:30,,
46,수원시,용남고속,3007,수원버스터미널,강남역나라빌딩앞,83.7,8,15,25,05:20,00:00,05:20,23:10,06:15,01:00,06:15,00:10,,
47,수원시,용남고속,3008,수원아이파크시티.선일초교,강남역나라빌딩앞,79.9,15,165,165,07:00,21:30,07:00,21:30,08:00,22:30,08:00,22:30,,
48,하남시,경기상운,31,감일스윗시티1단지.단독주택1단지,잠실광역환승센터,28.9,8,15,30,05:00,23:00,05:00,23:00,05:50,23:50,05:50,23:50,,
49,광주시,경기고속,31-2,경기광주역,모란역6.7번출구,32.5,30,40,45,05:00,22:10,05:00,22:10,05:35,23:00,05:35,23:00,,
50,광주시,경기고속,31-3,광주터미널,모란역6.7번출구,31.4,10,20,25,04:45,23:15,04:45,23:15,05:20,23:55,05:20,23:55,,
53,안산시,경원여객,3103,본오동종점,나라기록관.코이카,104.5,30,60,80,06:30,20:30,06:30,20:30,08:20,22:00,08:20,22:00,,
55,광주시,대원고속,32,광주차고지,잠실광역환승센터,67.5,10,20,30,05:00,22:10,05:00,22:10,06:20,23:30,06:20,23:30,,
56,광주시,대원고속,32-1,추자가압장앞,중앙시장,41.9,20,40,50,05:00,23:00,05:00,23:00,05:35,23:40,05:35,23:40,,
57,광주시,경기고속,320,추자가압장앞,중앙시장,35.6,15,25,35,04:55,22:55,04:55,22:55,05:35,23:25,05:35,23:25,,
58,광주시,경기고속,3201,광주터미널,서울역버스환승센터(5번승강장)(중),90,15,40,40,05:00,21:30,05:00,21:30,06:20,23:00,06:20,23:00,,
59,시흥시,시흥교통,3202,시흥공영차고지대기(경유),나라기록관.코이카,83.9,30,60,80,06:00,22:10,06:00,22:10,07:05,23:10,07:05,23:10,,
63,광주시,이천시내버스,3302,고산2통마을회관,잠실역.잠실대교남단(중),52.8,15,40,45,05:00,22:30,05:00,22:30,06:00,23:35,06:00,23:35,,
64,시흥시,시흥교통,3302,시흥능곡역2번출구,나라기록관.코이카,76.8,30,60,80,05:50,22:00,05:50,22:00,06:55,23:00,06:55,23:00,,
69,이천시,동부고속,3401,이천터미널,신분당선강남역(중),136.9,15,40,40,05:30,22:30,05:30,22:30,06:40,23:40,06:40,23:40,,
70,시흥시,경원여객,3402,이마트,나라기록관.코이카,96.9,30,60,70,05:40,22:20,05:40,22:20,06:50,23:20,06:50,23:20,,
74,성남시,경기고속,3500,구미동차고지(경유),케피코경기외국어고등학교,65.9,10,25,30,04:50,23:20,04:50,23:20,05:20,23:20,05:20,23:20,,
